Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2806092227,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 01:05:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:05:17 +01:00,,,,4689.600000000,Opening,Trader,,,
2806092228,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 01:05:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,4713.300000000,,,Undetermined,Trader,Cancelled by trader,,
2806092229,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 01:05:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,,4684.400000000,,Undetermined,Trader,Cancelled by trader,,
2806106427,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 01:06:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,4713.300000000,,,Undetermined,Trader,Cancelled by trader,,
2806106428,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 01:06:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,,4684.400000000,,Undetermined,Trader,Cancelled by trader,,
2806106426,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 01:06:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:06:47 +01:00,,,,4690.400000000,Opening,Trader,,,
2806115998,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 01:08:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:08:17 +01:00,,,,4691.200000000,Opening,Trader,,,
2806116001,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 01:08:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,,4684.400000000,,Undetermined,Trader,Cancelled by trader,,
2806116000,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 01:08:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:17 +01:00,4713.300000000,,,Undetermined,Trader,Cancelled by trader,,
2806132862,PRAC-V2-315185-26809886,MGCM6,Filled,Market,3,Bid,04/13/2026 01:10:18 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:10:18 +01:00,,,,4693.600000000,Closing,ClosePosition,,,
2806132892,PRAC-V2-315185-26809886,M6EM6,Filled,Market,3,Bid,04/13/2026 01:10:18 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:10:18 +01:00,,,,1.171400000,Closing,ClosePosition,,,
2805843424,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Stop,1,Bid,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:25:17 +01:00,71250.000000000,,,Undetermined,Trader,Cancelled by trader,,
2806221474,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,3,Bid,04/13/2026 01:25:18 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:25:18 +01:00,,,,71050.000000000,Closing,ClosePosition,,,
2805824847,PRAC-V2-315185-26809886,MCLK6,Filled,Stop,1,Ask,04/13/2026 00:19:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:54:30 +01:00,,104.120000000,,104.140000000,Closing,Trader,,,
2806543014,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 02:15:18 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:15:18 +01:00,,,,104.310000000,Opening,Trader,,,
2806543015,PRAC-V2-315185-26809886,MCLK6,Cancelled,Stop,1,Ask,04/13/2026 02:15:18 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:20:17 +01:00,103.330000000,,,Undetermined,Trader,Cancelled by trader,,
2806543016,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 02:15:18 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:20:17 +01:00,,106.270000000,,Undetermined,Trader,Cancelled by trader,,
2806551956,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 02:16:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:16:47 +01:00,,,,104.200000000,Opening,Trader,,,
2806551957,PRAC-V2-315185-26809886,MCLK6,Cancelled,Stop,1,Ask,04/13/2026 02:16:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:20:17 +01:00,103.220000000,,,Undetermined,Trader,Cancelled by trader,,
2806558099,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 02:18:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:18:17 +01:00,,,,104.250000000,Opening,Trader,,,
2806558101,PRAC-V2-315185-26809886,MCLK6,Cancelled,Stop,1,Ask,04/13/2026 02:18:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:20:18 +01:00,103.270000000,,,Undetermined,Trader,Cancelled by trader,,
2806558102,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 02:18:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:20:18 +01:00,,106.210000000,,Undetermined,Trader,Cancelled by trader,,
2806565310,PRAC-V2-315185-26809886,MCLK6,Filled,Market,3,Ask,04/13/2026 02:20:18 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:20:18 +01:00,,,,104.250000000,Closing,ClosePosition,,,
2806551958,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 02:16:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:20:18 +01:00,,106.160000000,,Undetermined,Trader,Cancelled by trader,,
2806640006,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 02:35:28 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:35:28 +01:00,,,,1.171700000,Opening,Trader,,,
2806640007,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 02:35:28 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:50:17 +01:00,1.173900000,,,Undetermined,Trader,Cancelled by trader,,
2806640009,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 02:35:28 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:50:18 +01:00,,1.166400000,,Undetermined,Trader,Cancelled by trader,,
2806648804,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 02:36:51 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:36:51 +01:00,,,,1.171700000,Opening,Trader,,,
2806648805,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 02:36:51 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:50:18 +01:00,1.173900000,,,Undetermined,Trader,Cancelled by trader,,
2806648806,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 02:36:51 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:50:18 +01:00,,1.166400000,,Undetermined,Trader,Cancelled by trader,,
2806655111,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 02:38:22 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:38:22 +01:00,,,,1.171600000,Opening,Trader,,,
2806655113,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 02:38:22 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:50:18 +01:00,1.173900000,,,Undetermined,Trader,Cancelled by trader,,
2806655115,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 02:38:22 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 02:50:18 +01:00,,1.166400000,,Undetermined,Trader,Cancelled by trader,,
2806698548,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 02:46:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 02:46:47 +01:00,,,,104.460000000,Opening,Trader,,,
